Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,2390502793.2960896,2549720670.3910604,2534636871.50838,2701675977.6536303,2765363128.49162,2919553072.6257,2965921787.7095,3056424581.00559,,
Afghanistan,AFG,15856574731.441002,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.9033,18869945677.9599,18353881129.881,19291104007.8299
Angola,AGO,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.59401,88815697793.30301
Albania,ALB,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15279183289.9372
Andorra,AND,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.2062697,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3154057987.23833
Arab World,ARB,2103331412247.86,2494028778449.34,2773499064014.84,2856372458851.04,2894391168409.53,2534723688142.23,2469440154484.43,2516121177762.82,2771384097904.53,2817414584665.11
United Arab Emirates,ARE,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.074,358135057862.492,357045064669.84296,385605506854.88104,422215043584.969,421142267937.65
Argentina,ARG,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,557531376217.967,643628665302.668,517626700412.71796,445445177459.426
Armenia,ARM,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324
American Samoa,ASM,576000000.0,574000000.0,644000000.0,641000000.0,642000000.0,661000000.0,652000000.0,602000000.0,636000000.0,
Antigua and Barbuda,ATG,1148700000.0,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.3333302,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296
Australia,AUS,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23
Austria,AUT,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441996131736.508,381817565893.574,395568644341.03796,417237869115.93,455094861902.062,445075391688.156
Azerbaijan,AZE,52902703376.1056,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48047647058.8235
Burundi,BDI,2032135246.5000398,2235820867.8274302,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959640987.29943,3172292379.36329,3036931818.18182,3012334881.6405697
Belgium,BEL,480951629493.03296,522645519183.591,496181260258.3,521642714407.84296,534678075827.361,462149679343.822,475739588764.759,502698069366.942,543734366831.215,533097455834.509
Benin,BEN,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.248999,11821066152.5979,12701656930.6889,14250985958.6727,14390709094.9386
Burkina Faso,BFA,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239,15990803569.9961
Bangladesh,BGD,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249711027660.25302,274039092455.30603,302571254131.135
Bulgaria,BGR,50381825504.2642,57386216850.3377,54033250328.5151,55615397665.5809,56901994980.3283,50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5775,68558815111.6199
Bahrain,BHR,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37652500000.0,38574069148.9362
