Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,23512.602595639702,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.880695275097,28281.35048163,29007.6930034887,,
Afghanistan,AFG,543.303041863931,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.21866133212603,519.884773089339,493.750418116312,507.103431871987
Angola,AGO,3587.88379824396,4615.46802807906,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704,3289.64666408633,2790.72661520665
Albania,ALB,4094.3503344202004,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.8012152446504,4124.055725953521,4531.0208055598605,5284.38018438156,5353.2448564014
Andorra,AND,40852.666777443395,43335.328861828304,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431
Arab World,ARB,5926.712962681159,6867.600192000191,7466.81181141866,7522.59534414922,7461.54515034611,6400.360350384461,6112.1059534046,6108.58822028271,6601.82518932287,6584.74024069285
United Arab Emirates,ARE,33893.303514039,39194.6766208456,40976.499711245495,42412.6302780364,43751.8388860721,38663.3838066363,38141.846758549196,40644.804043392,43839.3563491413,43103.3230583165
Argentina,ARG,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824669599,11633.498008646498,9912.28180859803
Armenia,ARM,3218.37270660563,3525.8047467115293,3681.8574560431,3838.1858014838203,3986.2316237671293,3607.29669672271,3591.8292755302296,3914.5012684128,4220.4902767124895,4622.733493286711
American Samoa,ASM,10271.2245225485,10294.3022651052,11568.793001239499,11505.393714213898,11507.232349303702,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,
Antigua and Barbuda,ATG,13049.257054573502,12746.2050243357,13272.4413293826,12909.744177500601,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16672.744239576397,17112.8211347326
Australia,AUS,52022.125596187594,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006,54027.9668184568,57354.9640455891,55060.3261005013
Austria,AUT,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45276.8314351693,47426.51195977731,51478.2852619277,50137.6627762476
Azerbaijan,AZE,5842.805783585761,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4147.08971569171,4739.841710283929,4793.58701966989
Burundi,BDI,234.23564687499902,249.577979366801,252.35897985834401,256.976002796754,274.85794791384603,305.549772797441,282.193130404814,292.997630684415,271.752044376648,261.247472515742
Belgium,BEL,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.540360117804,40991.8081381432,41984.103033560896,44192.6230270333,47583.0749405066,46420.6637668061
Benin,BEN,1036.5339516446902,1130.27313181143,1145.14081099947,1251.21051783537,1291.4098081857699,1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954,1219.43267185875
Burkina Faso,BFA,647.835846453449,751.172957247699,758.000701423857,787.4701762975501,792.846778432074,653.32697954543,688.249662758849,734.994429826895,813.096848960038,786.895631290168
Bangladesh,BGD,781.153593557047,861.758444349051,883.1050005413131,981.839879150399,1118.8536634927,1248.45339778371,1401.6206282151502,1563.9136986248498,1698.3503942812197,1855.7398240804603
Bulgaria,BGR,6812.4063384540195,7809.425062454709,7395.849803407209,7655.129707593191,7876.86646539994,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881,9828.148514781391
Bahrain,BHR,20722.1372891347,22514.2379458146,23654.3513912828,24744.296958551,24989.4001204704,22634.118645445,22608.484275925,23742.9850166355,23991.05667694,23503.977126673
"Bahamas, The",BHS,28443.4076553352,28006.379718391298,29485.6209294138,28783.5541223636,29980.0611386466,31295.0620781067,31562.6397411168,32718.638100801298,33767.5033710196,34863.7420984795
Bosnia and Herzegovina,BIH,4635.51777931783,5092.5519432889505,4778.63608845506,5131.39450642932,5329.63504488766,4727.27771157479,4994.68314045091,5394.59122017677,6072.184622853039,6108.51069581338
Belarus,BLR,6029.3967998293,6519.230194988921,6940.15925359735,7978.872614710759,8318.51268992675,5949.106306997479,5022.62664330491,5761.747120230071,6330.0752464187,6663.29529282582
Belize,BLZ,4270.86434454699,4423.48979672175,4505.62130177515,4568.5029576385205,4705.60268956266,4775.955648278211,4818.40390879479,4887.5772083381,4884.7341615523,4815.1637107951
Bermuda,BMU,101875.28407346,97774.16207174279,98431.8651810241,99471.6388978631,98467.68399398199,102005.62564189,106885.87848932699,111820.581466347,113021.417396746,117089.286273037
Bolivia,BOL,1955.46154376367,2346.33715481293,2609.88081366788,2908.2000945876503,3081.87882321413,3035.97221350817,3076.6589498988596,3351.1240444427003,3548.59015508448,3552.0687602631
Brazil,BRA,11286.2430162457,13245.612499544799,12370.024200714899,12300.324882275801,12112.5882059697,8814.000986812609,8710.09668954121,9925.38623770041,9001.23424863499,8717.18627810819
Barbados,BRB,16056.3709766031,16458.3532105715,16249.5593937258,16451.163575991202,16489.0722373387,16525.0732500596,16900.166552366,17391.4258663397,17745.1934649963,18148.2449264001
Brunei Darussalam,BRN,35269.5531076448,47055.841117180804,47740.5149036597,44740.085018517,41726.7839720342,31164.562029114102,27157.8234104784,28572.146777650898,31628.328791434902,31086.751118802797
Bhutan,BTN,2258.18314115595,2563.2575266012,2538.94590031276,2472.71430857435,2652.21458893197,2752.66420790266,2930.56298891838,3286.5747028748806,3243.48603638229,3316.1757135008397
Botswana,BWA,6434.815723553311,7617.32515952037,7050.573471866809,7224.965281188421,7780.65338385068,6799.870177834129,7243.870252866759,7893.232533636659,8279.60173877574,7961.32518123885
Central African Republic,CAF,488.421401781569,551.750096552583,565.800696971217,380.298167643018,424.448751343631,377.423001679447,402.191290596004,450.900244979058,475.95360987194505,467.90744063633497
Canada,CAN,47448.0132198383,52087.446383568,52678.3901234772,52652.593682827806,50893.446713754696,43585.5119817751,42322.4847803038,45148.5527061655,46313.17137129611,46194.7252255167
Central Europe and the Baltics,CEB,12608.6333258322,13910.447371496399,13014.715877786999,13712.6845114515,14154.1425405415,12513.2018363306,12822.3762230609,14244.864478591699,16037.4818998226,16300.7920722546
Switzerland,CHE,74605.7210819748,88415.6280324892,83538.23002504201,85112.4643984141,86605.5633762421,82081.5971616165,80172.23208691481,80449.99451277389,82818.1081617471,81993.72712595
Channel Islands,CHI,,,,,,,,,,
Chile,CHL,12808.034586422,14637.240235540301,15351.5513257697,15842.9408052125,14670.996760602,13574.171830723999,13753.5944374598,14999.3700885512,15924.794239306399,14896.453866578899
China,CHN,4550.4531077571,5618.13226711952,6316.918317602161,7050.64627124287,7678.599485874829,8066.94263493557,8147.937705488391,8879.43866711346,9976.67713725865,10261.6792453621
Cote d'Ivoire,CIV,1213.1126450644301,1208.58302649782,1243.2734867584,1415.87175770634,1561.46365461434,1972.54610769746,2013.3824617989103,2111.02707557541,2314.05068144953,2276.33327906444
Cameroon,CMR,1286.51557161767,1405.0943923190698,1354.5456127470698,1465.63884316769,1542.62026621531,1327.5030171149199,1364.33011041997,1425.10781805333,1534.49370193468,1507.45020591288
"Congo, Dem. Rep.",COD,334.021572573152,387.08246536148806,424.600386118518,457.96372825635,486.787081921552,497.316960805476,471.318840409572,467.0742374648901,557.064418324276,580.7168672077449
"Congo, Rep.",COG,3076.5612533414196,3562.2161879692208,3922.86826723867,3884.8475125044606,3754.1954669562,2461.49416964392,2074.97015928544,2191.2204378931897,2577.7017050415197,2279.96913053355
Colombia,COL,6336.709473984661,7335.166934476049,8050.255371670501,8218.34784431477,8114.3439208516,6175.87602970259,5870.777957241639,6376.706715526011,6716.91159778134,6428.676205627679
Comoros,COM,1316.4988481055198,1447.9635871347598,1403.34861983706,1505.3494731361402,1513.8303792438,1242.6031895579,1273.05895265459,1323.81158996501,1415.95531263535,1370.14820676715
Cabo Verde,CPV,3378.2548595003495,3740.38909850629,3447.5240412173,3615.97904131099,3588.6740539538,3043.01398430098,3130.9633855238103,3292.6457545737203,3617.3274887318203,3603.7817930451397
Costa Rica,CRI,8141.913126754609,9121.93251763187,9913.20995852366,10490.081331293299,10547.151859355601,11299.135542301101,11666.455910775901,11814.626568766498,12112.1344206452,12243.811426760702
Caribbean small states,CSS,9253.21333262735,9920.8920986356,10187.2716141439,10306.6345316741,10376.283588732,10083.9648675967,9518.1838733579,9767.97005850011,10187.2123091569,10500.9719018527
Cuba,CUB,5730.354774594879,6139.71932965905,6497.32111313561,6837.71289192677,7133.34209494342,7694.01191952409,8060.79588647979,8541.2106734664,8821.81889125004,
Curacao,CUW,,20146.3864122001,20587.397358013,20462.7179539813,20258.0096948833,19951.3279030441,19555.3658492891,19457.5315232205,19573.892645136002,19689.13982339
Cayman Islands,CYM,73351.75776478,72328.41260659491,72783.3197854203,73515.8962851792,74990.4327442868,76280.4866192809,78465.3573282461,81302.122965073,85975.0247395242,
Cyprus,CYP,31023.6383309791,32396.3857437121,28912.1569390403,27729.1926990735,27129.6261211298,23333.7149112129,24532.5190588269,26338.694344313597,28689.706722579198,27858.3709958327
Czech Republic,CZE,19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.232027191498,20636.199952435,23415.8436273041,23494.5962002944
